Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Pesniary – Pesniary III,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-7593476-1614757544-2283-300x300.jpg
Bob Seger & The Silver Bullet Band – Like A Rock,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/bob-seger-300x300.jpeg
ჯაზი 65. მოსკოვის ახალგაზრდული ჯაზის ანსამბლები.,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-4481029-1366091661-1199-300x300.jpg
Richard Wright (Ex. Pink Floyd) – Wet Dream,84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/01/wright.jpeg
"Ron Carter, Herbie Hancock, Tony Williams – Third Plane",38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/carter-300x300.jpg
"ფესტივალის ლაურეატები – „გაზაფხულის რიტმები, თბილისი-80“ (II).",35 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/tbilisi-300x300.jpg
"ვაჟა აზარაშვილის სიმღერები (ორერა, რერო)",52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/09/ვაჟა-300x300.jpg
ალექსი მაჭავარიანი / ჯანსუღ კახიძე – სიმფონია #2,70 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/a.machavariani1-300x300.jpg
ალექსი მაჭავარიანი / ჯანსუღ კახიძე – ვიოლინოს კონცერტი / ხუთი მონოლოგი,70 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/machavariani1-300x300.jpg
სულხან ნასიძე / ჯანსუღ კახიძე  – ფიროსმანი / Passione,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/ნასიძე-300x300.jpg
Richard Strauss – Till Eulenspiegel / Don Juan / Salomes Tanz / Rosenkavalier-Walzer,21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-7011011-1522072026-6619-300x300.jpg
Zodiac  – Music In The Universe,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-1884548-1250653109-300x300.jpg
"ოთარ თაქთაქიშვილი, ირაკლი აბაშიძე – რუსთაველის ნაკვალევზე (ორატორია)",38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/ოთარ-თაქთაქიშვილი-300x300.jpg
ABBA ‎- The Album,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/06/abba-the-album-5-300x300.jpg
ანსამბლი რუსთავი – ქართული საგალობლები,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/R-9508398-1482145875-4639-300x300.jpg
ნოკო ხურცია – უნიკალური ჩანაწერები,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/xurcia-300x300.jpg
Elton John ‎– Elton John’s Greatest Hits Volume 2,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/06/R-2205129-1396358933-1891.jpeg-300x300.jpg
"Mamuka Chkheidze – To Be Continued… (Exclusive, Sealed)",90 GEL,No,https://vinyl.ge/wp-content/uploads/2023/07/to-be-continued-300x300.jpg
Foreigner – Agent Provocateur,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/foreigner-300x300.jpg
აკაკი წერეთელი – ლირიკა,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/akaki1-1-300x300.jpg
Woody Herman And His Orchestra – At The Woodchoppers Ball,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/balll-300x300.jpeg
Soulful Christmas: The Ultimate Collection (Sealed),45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/christmas1-300x300.jpg
Manfred Mann’s Earth Band – Watch,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/ансамбль-мэнфредда-300x300.jpg
Supermax – Fly With Me,63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/fly-with-me-300x300.jpg
Peter Hammill – Fool’s Mate,63 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/mate-300x300.jpg
ილია ჭავჭავაძე – კაცია ადამიანი,56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/chavchavadze-cover-300x300.jpg
Alice Cooper – Killer,56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/killer-300x300.jpg
საქართველოს კომპოზიტორები,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/საქართველოს-კომპოზიტორები-300x300.jpg
Teresa Carreño / Raul Puño – Outstanding Pianists of the Past,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/piano1-copy-300x300.jpg
W. Mozart / F. Liszt – Concerto No.21 For Piano And Orchestra / Concerto No.1 For Piano And Orchestra,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/mozart1-copy-300x300.jpg
Gustav Mahler – Das Lied von der Erde,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/R-12298907-1532436103-4763-300x300.jpg
ორერა – ვოკალურ – ინსტრუმენტალური ანსამბლი,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/orera-300x300.jpg
Ilya Grubert – Ilya Grubert,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/ilya-300x300.jpg
Thin Lizzy – Chinatown,77 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/unnamed-file-300x300.jpg
Barclay James Harvest – Time Honoured Ghosts,56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/ghost-300x300.jpg
Barry White Love Unlimited – Love Is Back,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/04/love-unlimited-300x300.jpg
ივერია – 13 წელი,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/09/iveria-13-300x300.jpg
ჯუმბერ ჯანდიერი – სიმღერები (თეთრი რაში არ დაიდგამს უნაგირს),38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/tetri-rashi-300x300.jpg
იაკობ ბობოხიძე – სიმღერები,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/boboxidze-300x300.jpg
"GRB3 – Nothing, Nothing (Sealed)",62 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/GRB3-300x300.jpg
ვანო სარაჯიშვილი და სანდრო ინაშვილი,24 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/05/ქავერი-300x300.jpg
"Bella Davidovich – Sonata No. 5 for Piano , Fantasia No. 2 for Piano",70 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/davidovich-1-300x300.jpg
ფოლკლორული ანსამბლი კოლხეთი – სიმღერები,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/kolxeti1-copy-300x300.jpg
