Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Blues Brothers – Made In America,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/brothers-300x300.jpg
Rod Stewart – Every Beat Of My Heart,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/stewart-300x300.jpg
The Temptations – House Party,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/temp-300x300.jpg
Imagination – Scandalous,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/IMAGINATION6-300x300.jpg
Rod Stewart – Atlantic Crossing,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/rod6-300x300.jpg
Marillion – Misplaced Childhood,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/childhoood-300x300.jpg
Simon & Garfunkel – Simon & Garfunkel,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-4567113-1368626846-1696-300x300.jpg
Deep Purple – Made In Europe,66 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-10983681-1510687338-6882-300x300.jpg
Deep Purple – Live In London,84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-1641574-1376212087-4841-300x300.jpg
Bee Gees – Ensemble “Bee Gees”,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-3762891-1491290713-7533-300x300.jpg
Uriah Heep – Fallen Angel,91 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/R-2269259-1273840244-300x300.jpg
Grease (The Original Soundtrack From The Motion Picture),52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/04/grease-300x300.jpg
ABBA ‎- The Singles (The First Ten Years),77 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/12/ABBA-the-singles-1-300x300.jpg
Smokie – Bright Lights And Back Alleys (Israel),42 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/02/smokiee-300x300.jpg
არაგვი – დუშეთის რაიონის ფოლკლორული გუნდი (Exclusive),59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/10/dusheti-300x300.jpg
"George Michael – Older (2 LP, Sealed)",77 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/george-michael-300x300.webp
Pet Shop Boys – Introspective (Sealed),87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/BOYS2-300x300.webp
ალექსი მაჭავარიანი – სიმფონია 3,59 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/machavariani-300x300.jpg
Zodchie – Rubbish From The Hut,10 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/05/zodchie-300x300.jpg
